name,room_type,price,minimum_nights,number_of_reviews
Cottage in Gentilly Terrace,Entire home/apt,90,30,0
HISTORIC BYWATER VACATION HOME,Entire home/apt,99,3,155
Irish Channel Loft Style apartment!,Entire home/apt,278,2,72
Airy & Beautiful apt near Magazine!,Entire home/apt,249,30,21
Penthouse in The Historic Swoop-Duggins House,Entire home/apt,210,3,109
Huge Space in the Heart of Midcity,Entire home/apt,89,3,83
Upscale Home - Uptown NOLA,Entire home/apt,599,31,171
LARGE I BEDROOM 1BATH IN DUPLEX,Entire home/apt,122,30,11
Quaint Caribbean Bywater Cottage,Entire home/apt,85,60,42
French Quarter/Treme Creole Cottage,Entire home/apt,232,2,148
Frenchmen House  Green Room ,Private room,75,1,510
Luxury & history in the Big Easy #2,Private room,129,3,161
Walk to the Quarter - Private Room & Bath,Private room,72,30,88
Casa Verde Rosa. $350 for 8ppl! Great LOCATION!!!,Entire home/apt,454,3,181
Bayou St. John Creole Shotgun,Entire home/apt,100,3,38
Sweet Creole Cottage in the Marigny,Entire home/apt,81,2,219
Marigny Creole Cottage - Awesome Neighborhood -,Entire home/apt,82,3,164
Lower Garden District Beauty: 2nd Floor Walk-Up,Entire home/apt,99,2,483
14               Studio2 MAGAZINE ST. Hot Tub Pets,Entire home/apt,74,2,243
2 Rm Historic House off Magazine UP,Entire home/apt,81,30,141
Balcony Room on Royal Street #1,Private room,83,2,11
Historic Bywater Home for Rent,Entire home/apt,250,3,71
Bywater Beauty Guesthouse,Entire home/apt,59,1,316
Casual  Cozy Retreat steps from St. Charles Avenue,Private room,55,2,102
GUITARHOUSEOFNEWORLEANS,Entire home/apt,83,30,51
Cozy Room on Royal Street #2,Private room,62,2,0
Steps to the Quarter,Entire home/apt,126,3,43
1BR Apt in New Marigny/steps to FQ,Entire home/apt,175,3,30
Super Clean! 5-Minute Ferry to French Quarter!,Entire home/apt,93,3,42
Great Location! Jazz Fest! LARGE GROUPS!,Private room,45,30,30
Cozy room  bicycles for use!  NOLA!,Private room,79,1,37
The Boswell House (Historic Home on Jazz Registry),Entire home/apt,504,2,59
Laid Back Charm 1  Bywater Marigny,Entire home/apt,39,360,58
BigEasyCondo 2(close to the action),Entire home/apt,150,1,246
Uptown apt near parade route,Entire home/apt,209,30,10
Historical Charmer  Great Location,Entire home/apt,175,30,180
The Mazant: Renovated 1880s Bywater Mansion w/Pool,Entire home/apt,1271,3,104
Balcony Room Overlooking Royal Street #3,Private room,83,2,11
Restful Room on Royal Street #4,Private room,67,2,13
Queen Suite on Royal Street #5,Private room,77,2,11
Royal Street Kitchenette Balcony Suite 6,Private room,51,1,2
Walk to French Quarter / Jazz Fest 1,Entire home/apt,80,2,388
Marigny Jewel - Home Away from Home (#137023),Entire home/apt,410,3,35
Funky One Bedroom Loft Home,Entire home/apt,78,30,26
Magazine St. Shopping 1 block 35% Corona discount,Entire home/apt,140,30,29
Old World Charm Uptown New Orleans,Private room,175,2,11
Unit2 Charming Authentic MidCity! U1 Sleeps 8 more,Entire home/apt,303,2,168
Minutes to Anywhere in New Orleans,Entire home/apt,85,30,76
Unit1 Charming Authentic MidCity! U2 Sleeps 8 more,Entire home/apt,272,2,183
Treme Central - Huge Balcony,Entire home/apt,150,30,210
Uptown Cottage (Best reviews in New Orleans!),Entire home/apt,79,30,184
1903 Queen Anne Beauty-ask about summer specials!,Entire home/apt,154,3,165
The Purple House by Tulane,Entire home/apt,77,1,354
Charm!  Quality ! Comfort ! Unique! Affordable !,Entire home/apt,205,2,133
Luxury 2 bedroom Condo - 1870's Shotgun House,Entire home/apt,225,5,7
Treme Birds Nest Hideaway Above the Fray,Entire home/apt,97,3,1
Private Audubon Park Garden Studio near Tulane,Entire home/apt,85,2,90
Stylish  Modern Mid City Cottage Walk to Jazz Fest,Entire home/apt,300,2,9
Studio near French Quarter and Casino Sleep 4,Entire home/apt,299,3,14
Like the French Quarter - but better!,Entire home/apt,275,3,17
Sleep 6 next to the French Quarter!,Entire home/apt,278,3,32
Airy Loft in Creole Cottage in Historic Uptown,Entire home/apt,131,30,159
Lower Garden District Charmer,Entire home/apt,550,30,17
Affordable 3BR Apartment; 4 Blocks from Street Car,Entire home/apt,509,1,179
3BR Steps to the Quarter,Entire home/apt,836,3,26
Spacious  beautiful 2BR home on Magazine Street,Entire home/apt,170,3,82
Charles Suite - 2 bed 2.5 bath near French Quarter,Entire home/apt,225,30,68
Private rm in the St. Roch/Marigny,Private room,75,30,101
Chateau St. Roch,Entire home/apt,250,30,31
Historic Bywater in the Big Easy - Entire House,Entire home/apt,81,2,341
Single Room with 2 beds and couch,Private room,150,1,31
Walk to Tulane -Library Room  2 Twins or King Size,Private room,72,1,103
Large House Walk to French Qrtr  Faubourg Marigny,Entire home/apt,82,1,295
FAMILY REUNIONS WELCOME! 5BR/5BA,Entire home/apt,2000,3,15
Cozy apartment in the Marigny,Entire home/apt,125,2,222
The Lemon Tree Shotgun L: 17STR09697 P: 20OSTR0358,Entire home/apt,105,2,195
Colorful Shotgun in the Marigny,Entire home/apt,121,2,260
Boutique Apartment in Treme  NOLA,Entire home/apt,99,2,347
Best Location- Quarter Condo w pool,Entire home/apt,250,32,69
Musician-owned charmer near Jazzfest.,Entire home/apt,675,30,3
Fairgrounds Triangle 1 bed/1 bath Private Entrance,Entire home/apt,80,1,323
JAZZ FEST Cozy Cottage Getaway!,Entire home/apt,265,30,53
Esplanade Guest Quarters,Entire home/apt,179,30,169
Legal Airbnb: Newly Renovated NOLA Classic,Entire home/apt,1500,2,124
Quiet Holycross Neighborhood,Entire home/apt,150,30,10
Peaceful Neighborhood Retreat,Entire home/apt,74,3,188
 Delille  Studio - Steps to French Qtr,Entire home/apt,102,30,183
PURPLE Room-walk to City Park -1.5mi to FrenchQtr!,Private room,91,2,75
Garden dist 1 BR sleep4  street car,Entire home/apt,299,3,4
On Esplanade Avenue-French Quarter,Entire home/apt,144,3,279
Walk to Jazz Fest,Private room,65,1,107
JAZZFEST Shotgun,Entire home/apt,99,2,101
Magazine Street Style,Entire home/apt,250,30,2
Charming Mid City Home,Entire home/apt,100,2,102
A place with Character,Private room,87,30,97
Sleep 4 next to the French Quarter2,Entire home/apt,249,3,21
Only 31+ days—2bd Apt Uptown/Garden District!,Entire home/apt,140,31,20
The Okra Inn Master II: On Canal Streetcar Line,Private room,48,1,125
The Okra Inn: On Canal Streetcar Line,Entire home/apt,529,1,110
Bywater Courtyard Compound,Entire home/apt,115,5,94
Fabulous Location! PrivateBath/Priv LivRmSafepark,Private room,48,4,391
Hideaway between Frenchman st. and the Quarter,Entire home/apt,160,31,148
Cozy Cottage-Near French Quarter,Entire home/apt,80,4,28
⚜️Street Car or Walk to Mardi Gras +Fr. Quarter!⚜️,Entire home/apt,70,3,38
Apartment at walking distance FQ,Entire home/apt,69,1,392
Storyville Madam's Music Parlor with Innovative Cleaning,Entire home/apt,95,2,80
Steps to the Quarter  brand new rehab—upper floor,Entire home/apt,850,3,15
Cozy Private Room Near City Park,Private room,64,2,80
Blue + Green Rooms Entire Space,Entire home/apt,91,30,85
The Vivien House - Beautiful Historic Home,Entire home/apt,365,30,38
Separate entrance & private porch in Bywater,Private room,37,1,428
Uptown/ Carrollton - 15 mins dr to Fr Qtr,Entire home/apt,175,30,70
B&B on world famous Frenchmen St.,Private room,178,2,0
Uptown Gem  Amazing Location!,Entire home/apt,900,30,0
Best Block in the Bywater,Entire home/apt,142,1,296
Best Block in the Bywater,Entire home/apt,138,1,135
Historic 5 BR home in Lower Garden  close to DT,Entire home/apt,500,2,42
RARE FIND BEAUTIFUL UPTOWN TOWNHOME,Entire home/apt,350,3,27
GORGEOUS UPTOWN AUDUBON PK TOWNHOME,Entire home/apt,295,3,21
Guest House Near Audubon Park,Entire home/apt,99,2,109
Arts District Gem - Les Carillons: 1  2  3 BR Also,Entire home/apt,1238,2,11
Camelback Guesthouse Apt 3  2 bedroom,Entire home/apt,195,2,39
Camelback Guesthouse Apt 2  1 bedroom,Entire home/apt,58,30,26
