name,room_type,price,minimum_nights,number_of_reviews
welcome to the heart of washington,Entire home/apt,181,7,102
The MONROE: 2 bdrm house BROOKLAND Arts District,Entire home/apt,175,5,27
Primo Live-In Office Near Downtown,Private room,72,5,25
Bright and sunny apt close to transit & trails,Private room,77,30,0
Private Bedroom& Bath in Northeast DC,Private room,75,3,67
Basement Studio,Private room,44,14,12
1BR Suite in the Heart of Things,Private room,92,2,323
Furnished English Basement - D.C.,Entire home/apt,50,14,5
Private apartment in prime location,Entire home/apt,99,7,42
PERFECT DC location near everything,Entire home/apt,96,3,224
Upscale DuPont Private Entry+King Bed+Driveway Op!,Entire home/apt,295,2,67
SPECTACULAR HOME CAPITOL HILL!,Entire home/apt,300,30,55
Perfect studio in VERY central DC - renovated!,Entire home/apt,131,2,320
Spacious studio w rear deck near Rock Creek Park,Entire home/apt,100,3,50
Condo close to wharf & Downtown- Deep cleaned,Entire home/apt,125,7,40
Comfy condo in Washington  DC,Entire home/apt,100,2,3
Beautiful Renovated Rowhome in DC,Entire home/apt,160,25,320
Heart DuPont - Deluxe 1BR/1BA/Kitchen/Opt Parking,Entire home/apt,92,1,337
Entire home/apt in Washington,Entire home/apt,120,180,0
Skylit Studio in Adams Morgan,Entire home/apt,79,10,182
Beautiful  Sunny Private Room in DC,Private room,95,4,59
Georgetown 3BR Townhouse 2019 Remodel Patio Garage,Entire home/apt,456,3,17
1890s Rowhouse @ Union Inn,Entire home/apt,174,2,196
Stylish 4BR Home  Walk to Zoo and Metro,Entire home/apt,350,3,17
Vita's Hideaway III,Private room,61,2,36
Historic/modern! + perfect location,Entire home/apt,86,28,109
02. Small furnished room in Washington,Private room,45,1,279
Part City Part Country Homestay!,Entire home/apt,125,2,15
Railroad Retirement w/Private Bath in Chevy Chase!,Private room,69,1,306
DC House opposite park,Entire home/apt,175,2,12
Deep Cleaned & Comfortable in Petworth,Entire home/apt,120,1,69
Private  Spacious Retreat in Awesome Location!,Entire home/apt,75,3,314
Bright  Beautiful  Steps to Metro,Entire home/apt,100,28,211
Light-filled rowhome in historic Ledroit Park,Entire home/apt,169,4,6
Luxury Cap Hill Home - Entire Floor,Entire home/apt,350,3,29
Spacious 1-bedroom apt. with off-street parking,Entire home/apt,101,2,166
Metro 2 Blocks - Cozy w/Amenities,Entire home/apt,101,2,28
Dupont  U St  Adams Morgan Central Apt,Entire home/apt,120,3,43
Spacious  light-filled 1/BRM w/ basement & parking,Private room,72,1,2
Spacious rowhouse near Rock Creek Park,Entire home/apt,165,14,10
DC Historic Rowhouse English Basement Unit-2BR,Entire home/apt,115,2,68
Luxury 1 bedroom in Dupont Circle,Entire home/apt,66,1,177
1 bedroom Suite in Columbia Heights,Private room,45,7,27
Relax and Sleep in Class in Shaw,Private room,61,3,176
Newly Renovated Cap Hill Historic Home: 3 Bed/Bath,Entire home/apt,395,2,65
Long Term Luxury: Exquisite Studio AdMo,Entire home/apt,94,120,19
Efficiency Suite 1 bedroom - great location,Entire home/apt,67,2,25
Master BR (free parking)  Columbia Heights,Private room,120,20,16
Chic Oasis ♥ Clean  Close to Metro,Entire home/apt,104,5,373
Brand-new  family-friendly home,Entire home/apt,163,5,29
Family friendly row house!,Entire home/apt,699,2,12
Park View Apt: parking | kitchen | wifi | garden,Entire home/apt,94,2,69
Spacious  light-filled 1/BRM w/ finished basement,Private room,72,1,2
Sunny Studio--Great View & Location,Entire home/apt,100,3,26
Charming Adams Morgan bedroom in DC,Private room,78,30,53
Surprisingly Sunny  Arty Apartment,Entire home/apt,145,180,132
Cozy Trinidad in-law suite,Entire home/apt,82,4,77
Beautiful Master Bedroom,Private room,40,1,43
Private row house apartment nestled in Shaw,Entire home/apt,154,2,338
Peaceful Oasis Near U St/Dupont; Private Bedroom,Private room,79,3,68
Private & Comfortable NoMa Studio,Entire home/apt,94,2,214
COVIDfree Urban Elegance in Central DC Rowhouse,Entire home/apt,85,6,44
Super Sunny Studio AdMo - Great Location,Entire home/apt,89,30,17
Near DuPont 2BR/2BA Short Term/Long Term,Entire home/apt,125,10,25
Full House Near Convention Center Rhode Island NW,Entire home/apt,225,30,78
Classic scandinavian  kid haven,Entire home/apt,325,4,58
Gorgeous Washington  D.C. Getaway,Entire home/apt,100,1,66
Top Listing! Large 1BR Zen Boutique,Entire home/apt,116,2,341
Exceptionally large and bright  bedroom,Private room,85,4,65
Samurai themed room next to metro,Private room,34,2,136
Gracie's Place on Capitol Hill,Private room,99,1,41
Spacious  Hill Rowhouse with adorable cats!,Entire home/apt,140,1,6
Furnished Rm South of Takoma D.C.,Private room,22,30,7
Furnished Lrg Rm S. of Takoma D.C.,Private room,26,30,13
Great house to yourself in a great location,Private room,100,25,27
Pet Friendly Private BSMT w/Parking & Backyard,Entire home/apt,90,2,144
Lux 1 Bedroom near White House w/wifi,Entire home/apt,165,21,10
House near downtown DC,Entire home/apt,170,3,7
Lux 2 BR Near White House | Wifi+Gym+Min to Metro,Entire home/apt,189,21,26
Safari themed room next to metro,Private room,34,2,122
Penthouse Victorian Suite Heart DC,Entire home/apt,99,3,48
Near the US Capitol,Private room,59,2,137
Mid-Century in Rock Creek Park,Private room,90,2,121
Great Deal in Dupont,Entire home/apt,108,365,9
2BR/1BA Guest Suite - Union Station,Entire home/apt,106,1,173
Modern DC Northwest Apartment with Parking Spot,Entire home/apt,124,2,188
1 bedroom in 2 bedroom apartment,Entire home/apt,53,21,0
Private 1BR/1BA/Full Kitchen DC Apt Near Metro/Bus,Entire home/apt,60,3,123
GREAT SOCIAL DISTANCING Instaworthy Couples Nest | 3 blocks to Capitol - Entire Top Two Floors of Detached Home.  Gorgeous East Capitol Street.  Best location in DC.,Entire home/apt,175,2,20
Bright and Modern U Street Studio,Entire home/apt,80,2,122
Modern Bedroom in Renovated Solar DC Rowhouse,Private room,60,14,78
Cozy Sleeping Loft in 2BR near U Street,Shared room,84,3,3
Peaceful Little Blue House  Central  Cozy  Parking,Entire home/apt,75,3,12
GREAT SOCIAL DISTANCING Cozy Hideaway In Secluded Courtyard Modern Kitchen  - Huge Landscaped Courtyard - Gorgeous Street.  Three blocks to Capitol.,Entire home/apt,142,7,13
Perfect for Inauguration (huge home and brand new),Entire home/apt,2159,3,0
Garage Mahal,Entire home/apt,31,2,287
Comfort & Charm in Georgetown - 3BD,Entire home/apt,280,2,77
Cozy Pied-à-Terre @ Union Inn,Private room,60,2,128
Beautiful 2 bed/2 bath apartment on 14th St,Private room,375,7,0
Large bedroom in Cozy brick house,Private room,60,1,13
Charming & Spacious DC Home,Entire home/apt,300,4,1
Fun cheerful apt in heart of DC,Private room,60,7,9
Stylish suite in DC  free parking,Entire home/apt,84,2,277
Simple Basement Apt. 10 Minute Walk to Metro,Entire home/apt,101,2,256
Private bed/bath/balcony in hip Columbia Heights,Private room,65,20,4
1 BR Corporate/Vacation Apartment,Entire home/apt,49,7,110
Secure Deluxe Room,Private room,58,2,205
Fun Mt. Pleasant Studio near Zoo!,Entire home/apt,97,1,460
Dreamy 1Bed/1.5Bath +Parking,Entire home/apt,118,3,43
Dream loft  quiet in the city + Parking,Entire home/apt,154,27,119
Dream Penthouse + Parking. Walk Everywhere!,Entire home/apt,175,7,154
DuPont Escape,Entire home/apt,119,3,74
Charming Lincoln Park Apartment,Entire home/apt,129,2,221
International Jungle 1 B in an ideal location!,Shared room,78,4,21
