name,room_type,price,minimum_nights,number_of_reviews
Elegant Lakefront Near Wrigley Field Lake Michigan,Entire home/apt,182,1,154
Delightful Bedroom in vintage home   Rogers Park,Private room,81,3,27
Luxury Home South Loop,Entire home/apt,229,3,23
The Hideout,Entire home/apt,57,2,242
High Floor South Loop GYM POOL,Entire home/apt,200,60,14
Lincoln Park/DePaul  - Private room & bathroom,Private room,107,1,183
Admire Colorful Art at an Eclectic Wrigleyville Home,Entire home/apt,329,1,12
Nowhere Will You Feel More at Home,Entire home/apt,235,2,31
Wrigleyville Gem-Eclectic Artsy Style You'll Love!,Entire home/apt,329,2,36
Mansion in Bronzeville,Entire home/apt,1086,28,4
Furnished  & Spacious Duplex Apt,Entire home/apt,70,60,201
Bucktown - Great Northside Location,Private room,75,1,199
Great space in hip neighborhood!,Private room,36,3,188
1BR  Downtown  1 block to Michigan,Entire home/apt,150,5,34
Extra Bedroom with private entrance,Private room,45,30,23
Downtown Urban Oasis 3BR + Huge Deck & Parking!,Entire home/apt,169,2,148
Mid-Century Townhouse in Lakeview,Private room,75,1,137
Urban Farm Fun!  Walk to Metra/CTA,Entire home/apt,79,1,431
Bright Spacious 2 BR,Entire home/apt,95,1,173
Casa Corazón (E) near Rush / UIC,Private room,70,2,139
Ukrainian Village Apartment,Entire home/apt,100,5,46
Unique 3Bedroom Penthouse,Entire home/apt,140,365,2
Hyde Park / Kenwood  U of Chicago. Free bike.,Private room,42,2,21
Wrigley Hostel - 4 Bed Private Room,Hotel room,111,1,53
Wrigley Hostel - 10 Bed Shared Room,Hotel room,31,1,311
Carriage House in Wicker Park,Entire home/apt,114,2,158
Unique  Handcrafted Art Gallery Condo in River West Chicago,Entire home/apt,144,1,370
Old school Chicago apartment,Private room,81,1,51
FULTON/RIVER NORTH MODERN LUXURY STUDIO,Entire home/apt,150,60,7
2nd bedroom for rent,Private room,113,1,16
Conveniently Located!,Private room,175,2,67
Art studio + house in one,Private room,60,30,128
Cozy Garden-Subterranean Apartment,Entire home/apt,80,2,178
U of C Hospital/Campus Rooms,Private room,65,10,3
Chicago MostWanted LOCATION Mag Mil,Entire home/apt,140,31,4
Vintage Apartment in the Heart of the Ukrainian Village,Entire home/apt,89,7,154
Entire Condo near Univ. of Chicago,Entire home/apt,60,3,18
2 bedroom MAG MIL Roof Top Hot Tub,Entire home/apt,225,31,4
Furnished Gold Coast studio #402,Entire home/apt,45,30,5
The Green Room In Andersonville,Private room,46,2,289
Cool United Center and Rush Medical District Space,Private room,26,3,128
Warm Cozy Guest Suite  Private Bath,Private room,80,2,82
Private room near Downtown,Private room,65,2,220
Yellow Door Chicago Bungalow,Entire home/apt,160,2,3
Chicago Women's Residence/Cowgirls,Private room,45,2,6
Basement Studio w/Free St. Parking  Humboldt Park,Entire home/apt,45,1,560
Next to McCormick Desk WIFI w/ KING BED +Laundry,Entire home/apt,120,60,16
Prime Wicker Park spot+big apartment+free parking,Entire home/apt,82,40,20
Hyde Park / Kenwood. U of Chicago & Hospital.,Private room,29,15,25
Cozy Single-Family Home near University of Chicago,Entire home/apt,125,1,104
