name,room_type,price,minimum_nights,number_of_reviews
Gorgeous Victorian Spacious Home in German Village,Entire home/apt,436,1,33
STAY HERE! Minutes to Downtown - Safe Neighborhood,Entire home/apt,96,1,153
German Village Getaway!,Entire home/apt,80,1,215
Safe  quite and convenient to stay in Columbus,Private room,150,30,0
Blue Silk House  (parking- families- business),Entire home/apt,103,1,91
Modern Condo w/Garage—Arena District / Downtown,Entire home/apt,128,29,10
“3 Private Queen Bedrooms” Columbus Home,Entire home/apt,214,1,77
Short North 2BR - Home Suite Home,Entire home/apt,83,1,87
Bright Italian Village/Short North Urban Oasis!,Entire home/apt,69,2,84
Historic Oak Street Apartment,Entire home/apt,75,2,119
Comfortable private basement in Northern Columbus,Private room,100,1,1
MODERN  COMFY and FULLY RENOVATED BRICK OASIS,Entire home/apt,105,21,33
Eclectic Carriage House in a Vibrant Neighborhood,Entire home/apt,108,1,111
Central Short North Apt. on High St. With Parking,Entire home/apt,98,1,62
The Level Two Studio @ OSU & Short North,Entire home/apt,49,2,202
STYLISH   QUIET  ROOMY TOWNHOUSE,Entire home/apt,51,2,126
Private chill room in a cozi 2-bedroom apartment,Private room,52,1,68
Fireplace Room/OSU/Short North/Free Pkg.,Private room,75,1,18
Newly Renovated 1 Bedroom Near the Airport,Entire home/apt,64,1,216
Quiet Private Room; Short North/OSU; Free Parking,Private room,60,1,27
Private and Cozy Basement/Bedroom Welcoming You!,Private room,45,30,16
Columbus Clean& Cozy Close to Everything sleeps 10,Entire home/apt,150,1,71
Suburban feel...City Thrill!,Private room,58,1,3
Sunny Brownstone Garden Flat Downtown w/Garage,Entire home/apt,109,30,20
Amazing Luxury loft in the best location Downtown!,Entire home/apt,99,2,63
Cozy Brand New 3BR Home 5 Minutes from Downtown,Entire home/apt,97,1,38
The York - Short North Apartment w/ Gated Parking!,Entire home/apt,88,2,76
★Queen Bed★Riverside OSU★Laundry★COTA/CABS,Private room,36,1,139
★Queen Bed★OSU/Riverside★BUS/Walk★Updated★UV★,Private room,37,1,170
★Memory Foam★OSU/Riverside★Walk/Bus★Updated★,Private room,33,1,128
★Queen Bed★TV★Desk★OSU/Riverside★Sofa Bed★,Private room,40,1,199
"🎃 SPECIAL $94
ENTIRE HOME + BREAKFAST
AIRPORT/OSU",Entire home/apt,209,1,179
Spectacular Urban Condo—Convention Center/Arena,Entire home/apt,118,2,33
The Blue Ida Loft in Downtown Grandview,Entire home/apt,73,5,32
Hip Historic Loft—Short North/Convention Center,Entire home/apt,106,2,54
Clean & Cozy Loft in Columbus  Ohio,Entire home/apt,86,1,160
Gem of German Village,Entire home/apt,80,1,180
Terry's Private Rustic Home/ Airport/City & Easton,Entire home/apt,69,1,175
Judge’s Mansion Antique Modern Apartment,Entire home/apt,72,1,21
Mike and Allen's Place on the Park.,Private room,140,1,16
Short North-walk to nightlife & Convention Center,Entire home/apt,154,1,157
Bengali House,Private room,79,1,0
Judge’s Mansion: Project Apartment,Entire home/apt,88,1,23
Na,Entire home/apt,150,1,1
Wonderful home 12-minutes from downtown Columbus!,Entire home/apt,150,4,6
Live local in style with all the comforts of home,Entire home/apt,63,1,49
Modern Townhouse Few Minute Walk To Nightlife,Entire home/apt,156,1,148
Mike and Allen's Place on the Park.- Too,Private room,140,1,59
Huge Updated 4BR Townhouse Minutes From Downtown,Entire home/apt,135,1,146
Private Haus in German Village/Columbus-#WFH ready,Entire home/apt,92,1,154
Ocean View!,Private room,57,1,131
Beach Front Property!,Entire home/apt,150,1,7
Private room & bath: close to downtown & hospitals,Private room,61,2,91
NEW!  Perfect Home Away From Home ,Entire home/apt,74,1,62
Welcome! | Shared Home | Private room | Cute Dogs,Private room,31,3,36
Mod Basement  ShortNorth 3Bed  Parkng-RoweRentals,Entire home/apt,143,1,95
Downtown Columbus - Massive Townhouse - Bluestone,Entire home/apt,182,1,107
★King MemoryFoam★Laundry★FreeParking★OSU★Bus/Walk★,Private room,40,1,167
Luxurious Parisian Flat w/Roof Deck - Short North,Entire home/apt,106,30,5
Chic Urban Living near OSU and the Short North (D),Entire home/apt,126,2,77
Sparkling clean close to downtown,Entire home/apt,80,2,48
A Quiet Space,Private room,45,1,43
Judge’s Mansion: Mid-Century Modern Suite,Entire home/apt,61,1,23
Judge's Mansion: Blue Suite,Entire home/apt,75,1,18
Judge's Mansion: Exotic Hideaway,Entire home/apt,66,1,41
-Judge's Mansion Studio-,Entire home/apt,67,1,20
Judge's Mansion: Vintage Retreat,Entire home/apt,70,1,18
4 Blocks From OSU  Short North & Close 2 Downtown!,Private room,36,30,37
The Short North Retreat - Private Parking!!!,Entire home/apt,89,1,154
The Clintonville Red House,Entire home/apt,142,1,97
Private Townhouse in SOHUD (B),Entire home/apt,40,30,22
Olde Town Brick Beauty,Entire home/apt,96,1,118
Tree Tops,Entire home/apt,389,2,1
Gray Room - Olde Towne/Franklin Park-Historic Home,Private room,49,1,82
Updated suite in safe and quiet neighborhood,Entire home/apt,59,1,188
Comfy place near downtown.,Entire home/apt,80,2,30
Wincott Place - A Clintonville Gem,Entire home/apt,120,1,72
Refurbished Duplex Apartment in Historic Italian Village,Entire home/apt,129,2,131
Dempsey’s Jury Room Guest Suite  Downtown Columbus,Entire home/apt,195,1,46
Spacious 1BR - Great Location @ Grandview & OSU!,Entire home/apt,52,2,142
White Cottage,Entire home/apt,300,30,96
The Harrison West Carriage House,Entire home/apt,111,1,112
Housepitality~ The Lovely Italian Villa (Flexible),Entire home/apt,93,1,108
Remodeled 1-Bdrm Apartment w/off-Street Parking,Entire home/apt,42,2,140
Cozy Short North Brick Condo - 1 block off High St,Entire home/apt,128,2,33
Housepitality ~ The Columbus Game House (Flexible),Entire home/apt,114,1,88
Housepitality ~ Italian Village Villas (2 Houses!),Entire home/apt,159,1,10
Cozy place nestled in the heart of short north,Private room,99,2,10
Newly Remodeled   3 Min. to OSU  2 King Beds,Entire home/apt,202,1,61
Scarlet & Grey off I-71,Private room,32,1,45
The Architect and Baker House,Entire home/apt,99,29,10
●CONTEMPORARY HOME● Close to OSU/MAPFRE/Downtown .,Entire home/apt,686,15,46
Cozy Clintonville Apartment- Unit H,Entire home/apt,55,3,33
Classy home away from home (Apt. E),Entire home/apt,146,2,69
Cozy Private Bedroom & Bathroom Suite near Easton,Private room,39,30,19
Columbus home in the heart of it all.,Private room,100,1,37
Quiet Remodel Home  Grove City  Close to Columbus,Entire home/apt,114,7,113
Huge German Village 3BD/2BA Close to Everything!,Entire home/apt,176,1,100
Judge’s Mansion Entire Home: @judgesmansion,Entire home/apt,1279,1,0
Vintage Townhome w/Two Private Suites,Entire home/apt,230,2,74
Historic Patio Loft —Short North/Convention Center,Entire home/apt,106,2,45
Home away from Home,Entire home/apt,100,3,0
Fantastic Hidden Gem In Quiet Neighborhood,Entire home/apt,81,1,149
Newly Renovated 2 bedroom Near The Airport,Entire home/apt,71,1,104
Spacious 3br Perfect for OSU & Exploring Columbus!,Entire home/apt,148,2,33
*~Charming Home +Central Location~* 4 Bedrooms/2ba,Entire home/apt,130,1,37
Judge’s Mansion: The Judge’s Study,Entire home/apt,86,1,21
Duncan Street Retreat - Remodeled 2 Bedroom,Entire home/apt,96,1,50
1BR Condo w/ Best Location in City~Short North,Entire home/apt,89,1,93
The Short North Carriage House-Private Parking!!!,Entire home/apt,111,1,110
2BR German Village Brick Condo Steps from Downtown,Entire home/apt,113,1,54
Bexley Mid Mod Masterpiece near Downtown & Airport,Entire home/apt,224,3,31
Renovated Old Oaks Home Near Downtown & Nationwide,Entire home/apt,99,2,15
Cozy Single Room Near Downtown Nationwide & OSU,Private room,28,2,38
Standard Room - Full Service B&B,Private room,125,1,0
Charming Clintonville Cottage,Entire home/apt,71,1,42
Cozy & Comfy 1 Bedroom,Private room,32,1,122
Housepitality ~ The Franklinton Guest House,Entire home/apt,107,1,118
3 Bdrm Brick Bungalow Mins From Downtown -Airport-,Entire home/apt,90,1,54
Completely Updated Huge 4BR/2BA Townhouse,Entire home/apt,158,1,50
Luxury German Village 1BD Condo Steps to Downtown,Entire home/apt,83,1,64
L12-Mint at LX Loft ⚡ Private Keypad Room,Private room,32,1,204
L14-Burgundy at LX Loft ⚡ Private Keypad Room,Private room,31,1,156
L13-Sapphire at LX Loft ⚡ Private Keypad Room,Private room,21,1,187
L11-Plum at LX Loft ⚡ Private Keypad Room,Private room,29,1,190
German Village/Schumacher Place Old Historic Stay,Entire home/apt,69,1,245
Big Blue  Short North 5BD 4.5BA Home - RoweRentals,Entire home/apt,278,1,32
1BD/1BA German Village Condo Steps to Downtown!,Entire home/apt,76,1,50
Big Green  Short North 4BD 3BA Home - RoweRentals,Entire home/apt,358,1,68
Housepitality ~ The Bryden Park Townhouse,Entire home/apt,98,1,84
THE BIG DIPPER,Private room,26,1,74
The North Star - 25% OFF 30+ Nights,Private room,30,1,48
LUXURY MANSION  Close to DOWNTOWN  OSU  MAPFRE...,Entire home/apt,916,2,33
Large Bedroom Near Downtown Nationwide OSU,Private room,34,1,18
A Lovely Room in Devonshire,Private room,33,3,38
Livingston Hideaway,Entire home/apt,72,1,119
The Little Dipper - Near Airport,Private room,30,1,76
(838 OAK St) Modern Old Town East Apartment,Entire home/apt,125,2,41
A different Place to isolate yourself. Clean&Cozy,Entire home/apt,68,1,181
THE MILKY WAY,Private room,69,1,6
Comfy Queen bed and full bed - four guests,Private room,25,3,5
Comfy queen bed,Private room,25,2,9
Comfortable Room Near Downtown Nationwide & OSU,Private room,31,1,28
Skyline Mid-Mod Loft—Downtown / Convention Center,Entire home/apt,126,2,35
XL Modern 2BR Condo—Downtown / Convention Center,Entire home/apt,149,29,26
LUXURY BRAND NEW 3BR/3BA TOWNHOME W/ROOFTOP PATIO!,Entire home/apt,285,2,85
Beautiful home in the heart of Italian Village,Entire home/apt,160,2,1
King room close to OSU/Riverside (30 day min),Private room,35,30,8
"“Exclusive 3 Bedroom”
Historical Columbus Home",Entire home/apt,229,2,106
LUXURY 3BR/3BA TOWNHOME W/ GAME ROOM!,Entire home/apt,271,2,49
Columbus Neil Home,Entire home/apt,135,2,45
German Village Home,Entire home/apt,144,2,56
Daisy-Darla,Private room,40,30,0
recently renovated 2 story close to everything-A,Entire home/apt,101,1,46
Big Beds Bungalow in German VillageClose 2Downtown,Entire home/apt,81,1,194
recently renovated 2 story.close to everything-B,Entire home/apt,117,1,52
Artsy Suite  Convention Ctr  ShortNorth  w parking,Private room,89,1,53
Eastons Hidden Gem,Entire home/apt,111,1,69
Housepitality ~ Franklinton Farmhouse (Sleeps 16!),Entire home/apt,188,1,88
~*Relaxing Retreat*~ 6 Bedrooms/2ba,Entire home/apt,213,1,20
Starling Apartment. COSI 9mi Easton 6mi Dwntwn 4mi,Entire home/apt,62,2,61
Perfectly Located 2BD Condo Near High St/Downtown!,Entire home/apt,111,1,44
Newly renovated  spacious home in Central Columbus,Entire home/apt,215,2,52
Cute Ranch- Close to Downtown!,Entire home/apt,88,4,42
Housepitality ~ The Columbus Adventure Pad,Entire home/apt,79,1,61
Cozy comfort 2 BR +loft  Children's Hosp& Downtown,Entire home/apt,99,2,76
Modern German Village Private Home  Schiller Park,Entire home/apt,87,1,213
Guest Room in Historic German Village House,Private room,65,2,7
Grab a Slice of History at a Characterful Industrial Studio,Entire home/apt,111,1,97
Industrial Chic Apartment in Re-Purposed Factory,Entire home/apt,132,1,98
The Gatsby Flat—Downtown Columbus/Convention Ctr,Entire home/apt,136,2,24
Clintonville Cape Cod in ravine,Private room,100,2,14
Craft's Corner,Private room,40,30,2
Housepitality ~ The Maynard Manor,Entire home/apt,152,1,70
Short North 1 Bed Apartment🚶‍♂️WALK EVERYWHERE!,Shared room,52,1,128
Long Street entire house,Entire home/apt,75,1,53
Cozy Green Room in Cape Cod with Front Porch,Private room,50,2,20
The Beautiful Garden Villa  a Five-Star Hidden Gem,Entire home/apt,174,1,171
Fast Wifi | Work from Home | Great for Walks,Entire home/apt,85,2,62
Massive 4BR Home- Heart of the Short North,Entire home/apt,272,2,42
Stunning Short North Hangout- Steps from High,Entire home/apt,168,2,43
✭4BD Beauty! | Near Children's Hospital/Downtown ✭,Entire home/apt,108,1,54
CUTE RANCH - BEDROOM 1,Private room,27,7,14
CUTE RANCH - BEDROOM 2,Private room,27,7,17
CUTE RANCH - BEDROOM 3,Private room,27,7,15
Nice home near downtown Columbus,Entire home/apt,148,2,18
Buckeye Room,Private room,38,1,39
Remodeled Home directly across from Fairgrounds,Entire home/apt,101,2,29
