name,room_type,price,minimum_nights,number_of_reviews
SXSW Rental! 10 min from it all!,Entire home/apt,300,3,0
SXSW | 4 bedroom home near Downtown,Entire home/apt,750,4,125
South Austin Ultra Modern,Private room,130,2,68
Spacious Private Master Suite by the Month.,Private room,34,31,3
2br  800 sq/ft house/east side/SXSW,Entire home/apt,400,3,0
Charming Family Friendly Apartment,Entire home/apt,170,1,243
Close-in Central/East Garage Apt,Entire home/apt,35,30,23
Austin Historic Home Downtown SxSW,Entire home/apt,299,3,8
Exquisite Boutique SoCo Cottage with Shops and Restaurants Nearby,Entire home/apt,221,2,73
Austin Artist's Hm. in Hippest Area,Entire home/apt,158,3,210
4/3 Downtown East Austin SXSW F1,Entire home/apt,750,2,8
East Austin Bungalow,Entire home/apt,125,2,29
ATX -SOCO 3bd House...beats hotels!,Entire home/apt,430,1,37
The Heart of Chic Eastside/Near UT & Downtown,Entire home/apt,125,2,65
for formula one only...,Entire home/apt,643,5,1
Eastside Cabana - Near UT Downtown,Entire home/apt,128,1,605
Central Austin (Tarrytown) Bed and Bath,Private room,52,1,45
French country charming room/bath,Private room,75,1,0
Monthly Rental Guest House /Apartment  in SoCo,Entire home/apt,58,29,6
4/3.5 SoCo Bungalow,Entire home/apt,575,3,143
SXSW Luxury 2 Bedroom appt!,Entire home/apt,225,3,1
Colorful Artsy and Unusual Guesthouse in Bouldin Creek,Entire home/apt,127,3,301
SXSW-Historic Home luxury-Central East Downtown,Entire home/apt,630,3,5
★ Spacious Modern Luxury + Walk to Food & Bars! ★,Entire home/apt,1864,3,110
Ultimate casually elegant retreat,Entire home/apt,248,3,11
Private South Austin Guest House,Entire home/apt,110,30,18
Great SXSW Location. 3br/2baths,Entire home/apt,1000,1,3
SXSW - musician's home,Entire home/apt,100,1,0
Clean  Cute & Central-Clarksville!,Entire home/apt,99,2,12
Midcentury Modern in Central Austin,Entire home/apt,1050,30,2
Cozy and Modern Home,Entire home/apt,300,2,1
Upscale/Spacious Downtown Townhouse,Entire home/apt,485,2,9
Best ACL 2015 / Austin Summer,Entire home/apt,495,2,3
Zilker Home close to everything,Entire home/apt,151,3,224
Beautiful  Private Cottage,Private room,100,1,178
Entertainers Delight Close to SOCO,Entire home/apt,800,1,0
SXSW  Bungalow Available 2/1,Entire home/apt,625,4,0
Downtown Central Austin HUGE HOUSE!,Entire home/apt,386,2,110
Zilker Festival Suite,Entire home/apt,71,1,244
The Big Zilker. Minutes to it all!,Entire home/apt,844,4,27
Perfect for ACL/SXSW. Walk everywhere!,Entire home/apt,225,5,13
Private romantic getaway 150' above Lake Travis,Hotel room,210,2,1
Zilker Treehouse! Minutes to it all!,Entire home/apt,313,5,81
Hip E.Side Downtwn House Walk 2 ALL!,Entire home/apt,412,2,73
New listing! Modern Austin home super close to downtown w/free WiFi/full kitchen,Entire home/apt,296,2,160
Large ATX Home Minutes to Downtown,Entire home/apt,126,2,98
Charming Hyde Park Casita,Entire home/apt,106,3,186
Completely Renovated Mid Century,Entire home/apt,2150,4,1
New Modern Home  Near Downtown,Entire home/apt,399,30,12
SXSW Walk to Downtown. 2br Apt.,Entire home/apt,650,1,0
EZCamping in near SxSAustin!6,Entire home/apt,15,2,19
Weekend room near downtown  SoCo,Private room,175,2,2
Walk to SXSW and downtown Austin TX,Entire home/apt,595,3,0
Urban condo walk to SoCO/downtown,Entire home/apt,575,3,3
SXSW!! - Accommodations,Entire home/apt,1286,3,0
Enjoy Rm in Artist's Hm N BEST AREA,Entire home/apt,88,3,24
❤Banana Bread+Next to Downtown+Cozy+Screen Porch,Entire home/apt,139,1,296
GREAT Room - SOUTH CONGRESS Area!,Private room,47,1,52
Steps to S. Congress  2 bedroom oasis w/ pool,Entire home/apt,174,30,21
Architectual Gem/ Pool,Entire home/apt,695,30,10
Modern Loft in the Heart of Austin!,Entire home/apt,134,2,230
Austin Historic home bedroom only,Private room,82,2,164
Cozy central east home-kid friendly,Entire home/apt,200,3,12
House on the Creek - 4BR/3BA - 10 minutes to City,Entire home/apt,279,3,85
Cute & Cozy Central Austin House,Entire home/apt,99,2,65
REDUCED  ACL weekend 1!!! Minutes to the park!,Entire home/apt,599,2,5
Funky SoFi Condo! Walk downtown! Private bathroom,Private room,45,30,25
Downtown Condo with Austin's skyline view!,Entire home/apt,139,2,89
Downtown SoCo Guest House,Entire home/apt,271,2,34
Peaceful retreat in the trees,Entire home/apt,232,2,72
South Austin Condo with Great View,Entire home/apt,250,1,0
Elegant Upper Level Studio Minutes from Downtown,Entire home/apt,110,2,98
Downtown Oasis - Quiet Retreat!,Entire home/apt,108,2,399
Brentwood Guest House  Modern Home  Central Locale,Entire home/apt,120,2,68
Suite Spot (Zilker),Entire home/apt,99,14,450
Easy access/quiet/shady spot/SoutheastRiverside,Entire home/apt,72,30,126
Beautiful SoCo House near downtown,Entire home/apt,255,3,7
Designer Oasis-East Central Austin,Private room,100,2,25
Safe Stay/Downtown  Zilker  ACL HotTub,Entire home/apt,364,2,49
Zen Modern Home Near Downtown AUS,Private room,55,30,1
Design Pad with Art in Every Corner,Private room,105,2,12
Sunny Zilker Neighborhood Studio,Entire home/apt,98,1,374
Walk to ACL Fest from this Spyglass Treehouse,Entire home/apt,499,30,1
Austin Getaway,Entire home/apt,108,2,155
SOCO Beautiful Bungalow to Experience ATX!!,Entire home/apt,725,2,39
Stylish Furnished Condo with Pool,Entire home/apt,75,30,5
Modern  Spacious 3/2/2 South Austin,Entire home/apt,180,30,85
Mid-Century Modern E Austin- 2 Rooms in a house,Private room,73,1,111
Studio on funky S 3rd St. near SOCO,Entire home/apt,90,30,48
Clean Room & Own Bath in 50's home,Private room,70,2,28
French Place Studio,Entire home/apt,55,30,16
Private Artist Studio in Downtown Austin,Entire home/apt,90,2,94
The Blue Dahlia--close to Downtown!,Entire home/apt,117,30,29
Comfy private BR/house SHARE (with my work),Private room,65,2,1
Private & Professionally Cleaned-Vintage Eastside,Entire home/apt,140,1,468
Central/East Maple Guest House,Entire home/apt,166,2,294
5 Bedroom Home w/ a Putting Green & Pool Austin TX,Entire home/apt,1800,2,9
Quiet Getaway; Close to DNTN/UT/Trails & Townlake,Entire home/apt,91,3,5
NA Bright Cozy Gem,Entire home/apt,190,3,11
SXSW Perfection: Huge Craftsman Bungalow in SoCo,Entire home/apt,649,2,26
Southwestern Adobe Guest House,Entire home/apt,75,28,65
Travis Heights Hideaway SoCo studio,Entire home/apt,79,4,651
SXSW Downtown Austin 94 Walk Score,Entire home/apt,899,3,1
Charming East Austin Bungalow,Entire home/apt,219,3,106
The Casita on Hether St,Entire home/apt,154,2,132
Brentwood Bungalow-Central-2 BDRMS,Entire home/apt,80,30,18
2B/2B Condo in Downtown Austin,Entire home/apt,493,5,2
Charming Hill Country Cottage -Multiple Night Stay,Private room,71,2,166
A Place To Stay In Austin,Entire home/apt,249,2,156
Resort Style Living - Whole House,Entire home/apt,1499,3,56
Austin Mid Century Modern for SXSW,Entire home/apt,2000,3,0
5 Star Gorgeous and Spacious Downtown Austin 4BR,Entire home/apt,969,2,26
