name,room_type,price,minimum_nights,number_of_reviews
Private room with TV in West Denver house,Private room,36,2,180
Private room in West Denver house,Private room,34,2,223
Modern & Victorian - Perfect 4 bed!,Entire home/apt,159,30,14
Denver,Entire home/apt,350,30,1
2 BEDROOM/1 BATH UPSTAIRS APARTMENT IN WASH PARK,Entire home/apt,130,2,102
Gorgeous on GVR Golfcourse near DIA,Private room,70,30,8
Modern Luxury in the Highlands!,Private room,109,1,60
Cozy Bedroom in Congress Park 1,Private room,34,31,11
1BR Luxury Condo in Prime Riverfront Location,Entire home/apt,70,30,6
Beautiful Modern Carriage House,Entire home/apt,95,2,139
Private 3rd floor loft in great central location,Entire home/apt,90,1,260
Beautiful New Basement Apartment near City Park,Entire home/apt,75,2,7
Serene 2BR House in Heart of Denver. 30+ days only,Entire home/apt,125,30,281
Denver/DTC/light rail/no pesky cleaning charges,Private room,70,1,33
Modern Luxury in Converted Church (w/ Tiny House!),Entire home/apt,613,29,150
Modern 1 Bd. Apt Centrally Located,Entire home/apt,159,2,99
New & Cozy! Bars/Food/Tennis/Park! Pet OK,Entire home/apt,50,30,18
Sassy! City Park-Tennis/Golf/Food-Pet ok,Entire home/apt,47,30,22
30+ Night | Sanctuary in the City | Historic 1 BR,Entire home/apt,150,30,127
Large Colfax Condo w/Garage Parking 30 DAY MINIMUM,Entire home/apt,95,30,27
Upscale Downtown Denver 2BR Condo,Entire home/apt,120,30,61
Denver Highlands Guest House,Entire home/apt,57,2,498
Updated Highlands Bungalow *5 min to downtown*,Entire home/apt,159,3,17
Denver Downtown Neighborhood -Home Away From Home!,Entire home/apt,249,1,117
Cozy Highlands house near the city,Entire home/apt,90,3,42
Private Guesthouse in the Highlands/ Lohi,Entire home/apt,95,3,237
Lovely Carriage House in Central Park,Entire home/apt,110,1,144
A modern in-law suite in a convenient location,Entire home/apt,60,30,34
Charming Denver Bungalow,Entire home/apt,299,3,66
Curtis Park Charmer- blocks from RiNo,Entire home/apt,116,30,381
Denver Townhouse in Uptown,Entire home/apt,220,2,38
Soak up Colorado Sunsets at an Industrial LoDo Loft,Entire home/apt,100,30,15
Cozy home in historic Baker,Entire home/apt,47,30,15
Cozy 2 BR in Sloan's Lake/Highlands,Entire home/apt,75,1,285
DISCOUNTED SUMMER PRICING!!!,Entire home/apt,321,3,103
Ballpark RINO Loft,Entire home/apt,130,2,227
Away-space in re-purposed church  pets and LT ok!,Entire home/apt,96,4,113
Custom Home in Trendy Curtis Park,Entire home/apt,102,2,35
Spacious Stapleton Townhome,Entire home/apt,201,30,9
Private Room w/Private Bath and View of Mountains!,Hotel room,117,1,46
Cozy apartment in a great central location,Entire home/apt,109,1,212
Comfy dorm room in highlands bed D,Shared room,16,1,171
Tiny private room/crash pad for rent,Private room,36,1,100
NW Highlands spacious  private garden suite,Entire home/apt,90,28,84
Sunny Penthouse in Capitol Hill  Uptown,Entire home/apt,210,3,415
Relaxing  Modern Loft in Heart of Denver w/ Gym & Sauna!,Entire home/apt,101,30,103
Historic NW Denver Carriage House,Entire home/apt,120,2,33
Denver Art House,Entire home/apt,795,4,14
Private room-Nice Condo in Denver,Private room,73,1,53
A charming home and quiet garden by all Denver,Entire home/apt,84,30,145
Charming carriage house,Entire home/apt,90,3,337
Quiet room near dia,Private room,53,1,658
Updated in-law suite  right on Wash Park!,Entire home/apt,89,3,29
Spacious 2 BR in Gorgeous Park Hill,Entire home/apt,95,3,197
