name,room_type,price,minimum_nights,number_of_reviews
3Bdr Walkout Apartment near park,Entire home/apt,290,90,26
Private studio by MIT/Harvard/BU/Fenway w/parking,Entire home/apt,101,1,449
2 Bed w/ Parking Two Blocks from Harvard,Entire home/apt,175,21,104
Modern studio in Cambridge townhome,Entire home/apt,70,2,288
1 Bedroom near Harvard Square Cambridge,Entire home/apt,130,91,3
Comfortable & Private 1 bed apt,Entire home/apt,115,91,3
Nice space near Harvard University 2,Private room,179,1,163
Spacious Harvard Sq Room,Private room,99,3,46
Spacious 3BR Apt near Harvard Sq & MIT,Entire home/apt,158,1,39
Newly renovated 2BR apartment near MIT,Entire home/apt,248,75,39
Very close to Boston MIT Harvard MGH and subway,Private room,72,2,101
Convenient Harvard Room,Private room,83,91,43
Comfortable Sunny Room in Cambridge,Private room,75,30,18
Central Square Cambridge luxury 2 bed  2 Bath,Entire home/apt,200,30,63
Typically Cambridge: Harvard/Porter,Private room,75,3,27
Beautiful private RM near Harvard,Private room,62,1,24
Cozy private RM near Harvard SQ,Private room,60,1,17
Sunny private RM near Harvard SQ,Private room,64,1,10
Room with private bath/fridge/microwave 5 min to T,Private room,62,5,59
One Bedroom Close to MIT (1512),Private room,109,1,93
3rd fl studio  excellent light  1 stop to Harvard,Entire home/apt,60,175,3
Close to the subway  MGH  Harvard  MIT & Boston,Private room,74,2,148
1 bedroom apartment in Harvard Square Cambridge,Entire home/apt,130,91,1
❤ of Cambridge | Walk Score 94 | Parking | W/D,Entire home/apt,278,2,187
Spacious Strawberry Hill Suite (West Cambridge),Entire home/apt,70,5,259
Beta Room @ CCVP in Harvard Square,Private room,88,1,243
Sigma Room @ CCVP in Harvard Square,Private room,88,1,209
9th Floor Luxury Corporate Suite with BostonView,Entire home/apt,179,30,27
Modern  spacious 1Bed/1Bath in Kendall Square!,Entire home/apt,514,91,4
Large 1 BD Apartment near Harvard,Entire home/apt,171,1,221
Studio-type room  w private bathroom CBM,Entire home/apt,70,32,41
Harvard/MIT Luxury 2 Bed/2.5 Bath,Entire home/apt,115,2,184
Large One Bedroom walk to Harvard Square,Entire home/apt,120,91,0
Best Location! MIT  MGH  Harvard  Boston and the T,Private room,76,2,75
Great Cambridge studio  great Harvard sq location,Entire home/apt,99,3,10
Sophisticated 1Bed/1Bath on the Charles River bank,Entire home/apt,514,91,2
NEW SPACIOUS 2 BDR APT.  HARVARD - CENTRAL SQ/MIT,Entire home/apt,450,91,131
8th Floor Luxury One Bedroom with Fantastic View,Entire home/apt,179,30,37
Cozy Room near Harvard Square,Private room,70,30,30
