name,room_type,price,minimum_nights,number_of_reviews
 Plan B  Guest Suite,Entire home/apt,45,30,104
Heart of East Nashville,Private room,97,2,401
Stay on the Vanderbilt Campus CLEAN & SANITIZED,Entire home/apt,215,2,110
Beautifully Chic Home on the East Side  Clean & Sanitized,Entire home/apt,187,2,117
Modern Studio in Hip Melrose,Entire home/apt,58,2,341
East Nashville 1930's Cottage Unit B,Entire home/apt,95,2,83
East Nashville 1930'a Cottage Unit A,Entire home/apt,195,2,75
Cool East Nashville Cottage!,Entire home/apt,125,2,119
Private Loft Apt Vandy / Belmont,Entire home/apt,99,2,290
Midtown/Kristofferson's old Apt!,Entire home/apt,95,1,553
Updated Historic Home  Vibrant Park  HVAC w/ UV L,Entire home/apt,259,30,164
Cozy East Nash 12 mins to Downtown!,Entire home/apt,125,2,208
Charming Poppy House Villa  Walk to Music and More...,Entire home/apt,140,2,293
DOWNTOWN Riverfront Condo close to BROADWAY ACTION,Entire home/apt,109,2,141
Great Condo in 12South,Entire home/apt,146,28,25
Mid-Century Modern East Nashville Craftsman in Five Points,Entire home/apt,184,2,199
Germantown 4bd w Cty View & Hot Tub,Entire home/apt,473,2,91
Duplex- Inc Both Sides - in E. Nash 415 5* Reviews,Entire home/apt,300,2,15
Southern Charm meets Old World Hospitality,Entire home/apt,528,2,14
Historic Hillsboro/Belmont,Entire home/apt,600,1,0
The Green Menagerie,Private room,77,1,145
South Of Town Oasis,Entire home/apt,138,1,368
Gated community w/yard & parking✦Close to Downtown,Entire home/apt,226,2,211
Downtown Nashville Condo on River,Entire home/apt,196,2,87
Artistic Craftsman Home in East Nashville,Entire home/apt,245,2,25
Luxurious Downtown Corner Views 2 bed 2bath-#211,Entire home/apt,207,2,48
East Nashville Loft-Style Apartment,Entire home/apt,55,31,172
Nashville Carriage House,Entire home/apt,76,1,363
Greenway Golden Bnb - E. Nashville getaway,Entire home/apt,149,1,77
BEAUTIFUL NASHVILLE CONDO w/ VIEW,Entire home/apt,101,1,316
East Nashville 3BR - Great location,Entire home/apt,149,2,98
12 South Apartment for Rent,Private room,70,1,206
Cozy Green Hills apartment (1 mi from Lipscomb U.),Entire home/apt,69,3,339
Little Hollywood Gem East Nashville,Entire home/apt,245,2,54
3 BR w Extra Room and Loft. Deck/Firepit East Nash,Entire home/apt,800,3,131
4BR/3.5BA Luxury home with pool,Entire home/apt,377,3,19
Entire Cozy Cottage/5 Points/E Nash,Entire home/apt,146,2,304
Freshly Renovated Historic Suite,Entire home/apt,100,1,328
Photograpy/Music Studio Live-In! Berry Hill Area!,Private room,38,30,258
4BDRM/7QUEEN Artist's Home*Deck*Gated w/a Park,Entire home/apt,159,2,135
The Ruby at Music Row,Entire home/apt,100,1,521
East Nashville Mod Quad,Entire home/apt,71,2,213
Sweet cottage on Nashville farm!,Entire home/apt,138,90,74
PRIVATE bd/bth & house access,Private room,115,1,81
VIEW! En Suite with Balcony! ONLY 5 Mins to DWTN,Private room,50,2,107
Well Appointed Craftsman Style Row Home in Nations,Entire home/apt,276,2,151
Loft on 2nd - Downtown Nashville,Entire home/apt,185,2,36
2BR - Sleeps 4 - Kid Friendly! Upstairs Suite,Private room,99,2,110
Location! Location! Location!,Entire home/apt,229,2,56
The Villa,Entire home/apt,139,20,370
No more new rentals allowed,Entire home/apt,2750,60,5
Nashville's  Ashwood Hill House  Belmont & 12South,Entire home/apt,208,2,92
Cozy East Nashville Cottage with Relaxed Southern Style,Entire home/apt,97,1,763
Johnny Cash's old Midtown Apt!,Entire home/apt,146,1,514
Hip  Cozy East Nashville Paradise. Pet friendly!,Entire home/apt,195,1,82
Poplar Hollow Barn,Entire home/apt,105,1,204
Beautiful Victorian in heart of 5 points/downtown,Entire home/apt,325,1,111
Luxury home in trendy 12South  walk everywhere!,Entire home/apt,511,1,54
