name,room_type,price,minimum_nights,number_of_reviews
Convenient Biltmore/Downtown home,Private room,130,2,102
Mountain Retreat with Hot Tub,Private room,64,2,73
Best Of Both Worlds  3 000 ft Mountain Views & 3 miles from Downtown Asheville,Entire home/apt,621,2,49
Spacious  Chic Grove Park Studio - 5 Min Dwntwn,Entire home/apt,118,2,201
Spacious 700 sq. ft. Suite in South Asheville,Entire home/apt,72,1,364
The Hidden Attic-Great for Corporate or Relocation,Entire home/apt,127,30,87
N. Asheville Retreat with King Bed and Views,Entire home/apt,101,2,155
West Asheville Home,Entire home/apt,121,1,107
Chicken Hill Cottage in the River Arts District,Entire home/apt,155,2,107
Cabin by the pond,Entire home/apt,135,2,40
Private suite close to Biltmore  Brews & Downtown,Private room,72,2,195
Historic Grove Park rental - Apt #2,Entire home/apt,90,30,5
Sunny Downstairs Apartment,Entire home/apt,129,2,212
Cottage McIntyre Near Downtown! Weddings!,Entire home/apt,124,2,172
MONTHLY - Grove Park - Charming Guest House,Entire home/apt,72,30,0
Beer City Boutique,Entire home/apt,96,1,652
Retreat outside gates of Biltmore Estate unit two,Entire home/apt,196,2,129
Historic Grove Park  - Apartment #1,Entire home/apt,90,30,29
Mountaintop Retreat near Downtown Asheville,Entire home/apt,275,2,136
Retreat in Downtown Asheville,Entire home/apt,238,2,165
West AVL Urban Retreat (Monthly),Entire home/apt,115,30,14
NEW: Private Room is like a treehouse in the woods,Private room,52,1,87
City Lights,Entire home/apt,244,3,17
Be Well: Walk to Downtown AVL,Private room,51,3,179
Mixed Dorm Lower Bunk #1,Shared room,33,1,110
ZEN APARTMENT - feels like ur own little apartment,Private room,90,3,117
Haywood House Asheville (West Asheville),Entire home/apt,272,3,78
The best view in Asheville!,Entire home/apt,448,1,263
Mountain Cabin Near Downtown,Entire home/apt,425,2,71
Beautiful Modern Suite with Hot Tub,Entire home/apt,128,1,359
RainbowUnicorn & Paris of the South,Private room,133,2,27
The Guesthouse at Deer Crossing,Entire home/apt,99,2,41
10 minutes to Downtown & Biltmore  Next to Parkway,Entire home/apt,137,2,362
 Tree house  in South Asheville,Private room,40,3,24
Lovely  welcoming  walkable,Private room,54,1,417
Sweet suite for families & friends,Entire home/apt,86,1,277
Bunks for family and friends,Private room,54,1,330
Historic Grove Park - Apartment #4,Entire home/apt,90,30,24
Urban Farmhouse,Private room,50,30,47
Mountain View Cottage with Hot Tub,Entire home/apt,250,1,412
Convenient to Breweries  Biltmore  Downtown  River,Entire home/apt,123,2,132
Cheryl's W. Asheville Chalet,Private room,65,1,89
Modern in Downtown Walkable West Asheville,Entire home/apt,89,1,188
Unique Hand-built Cabin in the City,Entire home/apt,50,30,140
NEW studio apartment in Downtown Asheville!,Entire home/apt,98,2,174
Mountain Views at S. Asheville Private Apartment!,Entire home/apt,88,4,181
Retreat outside gates of Biltmore Estate unit one,Entire home/apt,189,2,180
Charming Arts & Crafts Home-20 min downtown AVL,Entire home/apt,99,2,78
Country Garden Getaway with Hot Tub,Entire home/apt,74,2,200
Mountain Views over the River with Hot Tub,Entire home/apt,115,3,328
Clean & Spacious Apartment w/Full Kitchen & W/D,Entire home/apt,42,30,141
Female Dorm Bottom Bunk at BPS Hostel,Shared room,33,1,65
Raven's Nest Cottage,Entire home/apt,164,2,138
Heart of Downtown - Bright Spacious Historic,Entire home/apt,126,1,361
Sam's Cottage,Entire home/apt,148,2,113
Urban Farm Studio ~ Close to Everything!,Entire home/apt,105,2,194
Bluebird Sanctuary. Mt view  walk downtown  W Ashe,Entire home/apt,155,3,59
Downtown Loft with Balcony,Entire home/apt,198,1,398
The Red Private Suite + Den and Bathroom Montford,Private room,65,1,240
Beautiful Quiet Home   Close to Parkway or Town,Private room,52,2,71
In the Heart of West Asheville,Private room,83,2,43
Easy Access to Downtown & Hiking  Sparkling Clean!,Entire home/apt,225,3,73
Mama Dee's Hide Away,Entire home/apt,167,2,3
The Sage Private Suite+Den and Bathroom Montford,Private room,65,1,234
STEAMPUNK SUITE@UTOPIA ~ HOT-TUB ~ DWTN 2M ~ RURAL,Entire home/apt,118,1,358
